ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
PS014,P2,1,CG,0.742450759,4.043460709,9.012204059,0.759439151,0.058234858,0.796864675,0.071667532,0.171266791
PS014,P2,2,CG,0.52795442,2.608527976,8.046552457,0.612847119,0.067486498,0.535643222,0.050218678,0.083506986
PS014,P2,3,CG,0.618829949,3.381388408,7.778100567,0.768379488,0.069032259,0.608882235,0.09147007,0.179843454
PS014,P2,4,CG,0.699583873,5.110102782,7.661755448,0.746547698,0.097937078,0.323782462,0.044573996,0.149464793
PS014,P2,5,CG,0.594647958,4.118179219,8.386137904,0.697075839,0.049067459,0.457659698,0.09624855,0.132357159
PS014,P3,5,CG,0.505496298,2.394522191,7.52263544,0.602374727,0.016565682,0.336922185,0.028218069,0.065611185
PS014,P2,6,CG,0.59398078,2.521952919,7.622280656,0.610931233,0.058939458,0.326985693,0.036136856,0.090404424
PS017,P2,1,CG,0.789793647,4.571866273,8.090223168,0.497497661,0.031155607,0.705689436,0.05379614,0.16851052
PS017,P3,1,CG,0.378295382,5.208904425,8.439100824,0.632179554,0.026807893,0.443405308,0.052595415,0.183382027
PS017,P4,1,CG,0.648058201,2.766500042,8.72419074,0.478913839,0.095262393,0.657497542,0.047822062,0.115803624
PS017,P3,2,CG,0.446447409,2.335411361,8.939622082,0.59630303,0.152816144,0.760933809,0.055994302,0.182262343
PS017,P4,2,CG,0.672611272,3.44626017,8.247695721,0.751358877,0.088062248,1.190928924,0.064957367,0.217463365
PS021,P3,1,CG,0.619491541,5.408302423,6.862987913,0.779168285,0.104823925,0.095467441,0.041955454,0.122449294
PS021,P4,1,CG,0.794989722,4.780984599,8.481600953,0.827512782,0.101166332,0.619615502,0.061378209,0.116693591
PS021,P3,2,CG,0.562443247,5.477732202,7.999717815,0.956602198,0.091083427,0.038889189,0.043411218,0.204127238
PS021,P4,2,CG,0.719785419,4.816807883,8.042461419,0.888997946,0.088688327,0.433505604,0.030013457,0.131268765
PS021,P3,3,CG,0.546609912,3.160504996,7.607965225,0.527064454,0.057579454,0.745395702,0.067767251,0.137065726
PS021,P4,3,CG,0.637868613,2.774758155,7.210445969,0.584936547,0.034133328,0.282836532,0.061485345,0.150001605
PS021,P3,4,CG,,,,,,,,
PS021,P4,4,CG,0.71613717,4.243152306,8.002143874,0.838412821,0.036428274,0.883589694,0.047543144,0.07845238
PS021,P3,5,CG,,,,,,,,
PS021,P4,5,CG,0.652549238,3.777365634,8.297096204,0.63131248,0.121335023,1.142020253,0.075182621,0.266042532
PS021,P3,6,CG,0.866673764,5.230285206,6.438935427,0.818857368,0.095977469,0.130646649,0.06535777,0.134770559
PS021,P4,6,CG,,,,,,,,
PS018,P1,1,MTD,0.162681532,3.637787559,7.539461033,0.523754556,0.028824764,0.267260589,0.011595538,0.041384064
PS018,P3,1,MTD,0.853633097,4.410342063,6.589909968,0.372692281,0.153241135,0.592977539,0.075656295,0.1746425
PS018,P1,2,MTD,0.56630246,2.040520947,7.772652697,0.464519456,0.041776236,0.133525893,0.015978773,0.03557933
PS018,P3,2,MTD,0.726048445,2.543978859,8.65106183,0.548401982,0.041100948,0.392315747,0.063565073,0.125135699
PS018,P1,3,MTD,,,,,,,,
PS018,P3,3,MTD,,,,,,,,
PS019,NP6,1,MTD,0.568890922,3.915914479,8.487923366,0.821050815,0.066587662,0.815358024,0.105630609,0.173672236
PS019,NP6,2,MTD,0.716196254,4.820436718,8.038647703,0.690397368,0.136117785,0.551815307,0.038643437,0.148131245
PS019,NP6,3,MTD,0.794629334,3.834218854,5.608426794,0.338417414,0.068949114,0.737861359,0.135194068,0.271848412
PS022,P1,1,MTD,0.804286877,5.03865504,6.067478381,0.634841979,0.097256049,0.426105319,0.048261413,0.188565322
PS022,P2,1,MTD,0.5707635,4.379512906,7.30400448,0.872648908,0.055921752,0.897445168,0.052470387,0.199075758
